Variable,Description,Position
Q_46,"Label: 15.1. Por que avalia dessa forma, ÓTIMO?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,""Construção, reforma de ruas e avenidas/ tapa-buracos""
2,""Investimento na educação do município, construção de escolas""
3,Está trabalhando para desenvolvimento economico da cidade
4,""Investimento em habitação, construção de casas""
5,""É um prefeito honesto, cumpre as promessas, trabalhador e co""
6,""Está combatendo a miséria, fome dos moradores""
7,Desenvolvimento industrial
8,Geração de empregos com chegada de novas empresas na cidade
9,Construção e/ou reforma de postos de saúde (UPA's)
10,Investimento na área da segurança/câmeras nas ruas/mais poli
11,Novos programas na área da saúde/Saúde da Família PSF/Agente
12,Construção de creches e mais vagas
13,Melhoria no transporte urbano/público da cidade
14,Outro (descreva):",85
Q_46_S,"Label: 15.1. Por que avalia dessa forma, ÓTIMO? [Other (specify)]
Format: A50
Measure: Nominal
Display Width: 50",86
Q_47,"Label: 15.2. Por que avalia dessa forma, BOM?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,""Construção, reforma de ruas e avenidas/ tapa-buracos""
2,""Investimento na educação do município, construção de escolas""
3,Está trabalhando para desenvolvimento economico da cidade
4,""Investimento em habitação, construção de casas""
5,""É um prefeito honesto, cumpre as promessas, trabalhador e co""
6,""Está combatendo a miséria, fome dos moradores""
7,Desenvolvimento industrial
8,Geração de empregos com chegada de novas empresas na cidade
9,Construção e/ou reforma de postos de saúde (UPA's)
10,Investimento na área da segurança/câmeras nas ruas/mais poli
11,Novos programas na área da saúde/Saúde da Família PSF/Agente
12,Construção de creches e mais vagas
13,Melhoria no transporte urbano/público da cidade
14,Outro (descreva):",87
Q_47_S,"Label: 15.2. Por que avalia dessa forma, BOM? [Other (specify)]
Format: A50
Measure: Nominal
Display Width: 50",88
Q_48,"Label: 15.3. Por que avalia dessa forma, REGULAR POSITIVO?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Não investe em saúde (precária/ruim)/reforma e construção de
2,Falta construir e reformar escolas / creches
3,Falta asfaltar / recapeamento de ruas e avenidas
4,Gerar mais empregos para os moradores da cidade
5,Criar/ampliar o pólo industrial
6,Faltam políticas de combate ao desemprego
7,Falta investir em segurança/ diminuir a violência
8,""Fraco, não fez muito pela cidade""
9,""Falta investir em educação (novas escolas, merenda, transpor""
10,Não tem programa para combater a fome/miséria/pobreza
11,Falta construir novas casas/´programa habitacional
12,Outro (descreva):",89
Q_48_S,"Label: 15.3. Por que avalia dessa forma, REGULAR POSITIVO? [Other (specify)]
Format: A50
Measure: Nominal
Display Width: 50",90
Q_49,"Label: 15.4. Por que avalia dessa forma, REGULAR NEGATIVO?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Não investe em saúde (precária/ruim)/reforma e construção de
2,Falta construir e reformar escolas / creches
3,Falta asfaltar / recapeamento de ruas e avenidas
4,Gerar mais empregos para os moradores da cidade
5,Criar/ampliar o pólo industrial
6,Faltam políticas de combate ao desemprego
7,Falta investir em segurança/ diminuir a violência
8,""Fraco, não fez muito pela cidade""
9,""Falta investir em educação (novas escolas, merenda, transpor""
10,Não tem programa para combater a fome/miséria/pobreza
11,Falta construir novas casas/´programa habitacional
12,Outro (descreva):",91
Q_49_S,"Label: 15.4. Por que avalia dessa forma, REGULAR NEGATIVO? [Other (specify)]
Format: A50
Measure: Nominal
Display Width: 50",92
Q_50,"Label: 15.5. Por que avalia dessa forma, RUIM?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Não investe na saúde/precária/ruim/faltam hospitais e postos
2,Não investe na segurança/muita violência
3,Incompetente/fraco
4,Não faz/cumpre as promessas de campanha
5,Falta política para gerar emprego
6,Não investe na educação/não constroi novas escolas e creches
7,Não combate a fome/miséria/pobreza
8,Não investe na infraestrutura da cidade
9,Não asfalta ruas e avenidas/recapeamento
10,Desonesto/corrupto
11,Outro (descreva):",93
Q_50_S,"Label: 15.5. Por que avalia dessa forma, RUIM? [Other (specify)]
Format: A50
Measure: Nominal
Display Width: 50",94
Q_51,"Label: 15.6. Por que avalia dessa forma, PÉSSIMO?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Não investe na saúde/precária/ruim/faltam hospitais e postos
2,Não investe na segurança/muita violência
3,Incompetente/fraco
4,Não faz/cumpre as promessas de campanha
5,Falta política para gerar emprego
6,Não investe na educação/não constroi novas escolas e creches
7,Não combate a fome/miséria/pobreza
8,Não investe na infraestrutura da cidade
9,Não asfalta ruas e avenidas/recapeamento
10,Desonesto/corrupto
11,Outro (descreva):",95
Q_51_S,"Label: 15.6. Por que avalia dessa forma, PÉSSIMO? [Other (specify)]
Format: A50
Measure: Nominal
Display Width: 50",96
Q_52,"Label: 16. Na sua opinião, qual foi a(o) principal obra, programa ou realização da administração do Prefeito Alcides Bernal? 
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Obras de saneamento/esgoto
2,""Programas de prevenção à saúde (à criança, à mulher, ao idos""
3,Obras viárias(asfalto em ruas e avenidas)/operação tapa-bura
4,""Investimento na educação (entrega de material escolar, table""
5,Programa de Agendas comunitários de Saúde (PSC's) e/ou PSF's
6,Obra Orla Morena (urbanização ferrovia)
7,Investimento em habitação (distribuição de casas)
8,Obras de infraestrutura e drenagem
9,Reforma CEINF'S
10,Construção ou reforma de postos de saúde/UPA's
11,OUTRO (DESCREVA):
12,Não se lembra
13,NS/NR",97
Q_52_S,"Label: 16. Na sua opinião, qual foi a(o) principal obra, programa ou realização da administração do Prefeito Alcides Bernal?  [Other (specify)]
Format: A50
Measure: Nominal
Display Width: 50",98
Q_53,"Label: 17. Na sua opinião, em que área que a administração do Bernal está MAIS ACERTANDO?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Saúde
2,Segurança
3,Educação
4,Emprego
5,Situação das ruas (buracos)
6,Limpeza urbana
7,Habitação
8,Falta de creches
9,Iluminação pública
10,Transporte público
11,Saneamento básico/falta de esgoto
12,Pobreza
13,Outro (descreva)
14,NS/NR
15,Tudo",99
Q_53_S,"Label: 17. Na sua opinião, em que área que a administração do Bernal está MAIS ACERTANDO? [Other (specify)]
Format: A50
Measure: Nominal
Display Width: 50",100
Q_54,"Label: 18. Na sua opinião, em que área que a administração do Bernal está MAIS ERRANDO? 
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Saúde
2,Segurança
3,Educação
4,Emprego
5,Situação das ruas (buracos)
6,Limpeza urbana
7,Habitação
8,Falta de creches
9,Iluminação pública
10,Transporte público
11,Saneamento básico/falta de esgoto
12,Pobreza
13,Outro (descreva)
14,NS/NR
15,Tudo",101
Q_54_S,"Label: 18. Na sua opinião, em que área que a administração do Bernal está MAIS ERRANDO?  [Other (specify)]
Format: A50
Measure: Nominal
Display Width: 50",102
Q_55,"Label: 19. Na hora de escolher um candidato a prefeito, o(a) Sr(a) prefere votar... (LEIA OPÇÕES):
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Na reeleição do prefeito Bernal para que continue a maioria 
2,Em um candidato que mude a maioria das coisas que o prefeito
3,NS/NR",103
Q_56,"Label: 20. Em relação a expectativa que o(a) Sr(a) tinha em relação à administração do Prefeito Alcides Bernal, como se sente HOJE? 
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Decepcionado com o desempenho do prefeito no mandato
2,Indiferente
3,Satisfeito com o desempenho do prefeito no mandato dele
4,NS/NR",104
Q_57,"Label: 21. A Câmara de Vereadores cassou o mandato do Prefeito Bernal, fala-se que houve um golpe. Na sua opinião: (LER OPÇÕES)
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Houve um golpe?
2,""Não houve golpe, ele foi cassado na verdade por corrupção?""
3,NS/NR",105
Q_58,"Label: 22. Considerando que o Prefeito Bernal governa a cidade há 01 ANO E MEIO, para o(a) Sr(a)... (LEIA OPÇÕES):
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Ele merece uma segunda chance?
2,Campo Grande merece um novo prefeito?
3,NS/NR",106
T_59_1,"Label: Governador Reinaldo Azambuja
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Votaria com certeza no candidato apoiado por ele(a)
2,""Poderia votar, mas dependendo do candidato""
3,Não votaria no candidato apoiado por ele(a)
4,Não levaria isso em conta na hora de escolher o candidato
5,NS/NR",107
T_59_2,"Label: Ex Governador André Pucinelli
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Votaria com certeza no candidato apoiado por ele(a)
2,""Poderia votar, mas dependendo do candidato""
3,Não votaria no candidato apoiado por ele(a)
4,Não levaria isso em conta na hora de escolher o candidato
5,NS/NR",108
T_58_4,"Label: Nelsinho Trad
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Votaria com certeza no candidato apoiado por ele(a)
2,""Poderia votar, mas dependendo do candidato""
3,Não votaria no candidato apoiado por ele(a)
4,Não levaria isso em conta na hora de escolher o candidato
5,NS/NR",109
T_58_5,"Label: Deputado Zeca do PT
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Votaria com certeza no candidato apoiado por ele(a)
2,""Poderia votar, mas dependendo do candidato""
3,Não votaria no candidato apoiado por ele(a)
4,Não levaria isso em conta na hora de escolher o candidato
5,NS/NR",110
T_58_6,"Label: PT
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Votaria com certeza no candidato apoiado por ele(a)
2,""Poderia votar, mas dependendo do candidato""
3,Não votaria no candidato apoiado por ele(a)
4,Não levaria isso em conta na hora de escolher o candidato
5,NS/NR",111
T_58_7,"Label: PMDB
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Votaria com certeza no candidato apoiado por ele(a)
2,""Poderia votar, mas dependendo do candidato""
3,Não votaria no candidato apoiado por ele(a)
4,Não levaria isso em conta na hora de escolher o candidato
5,NS/NR",112
T_58_8,"Label: Lula
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Votaria com certeza no candidato apoiado por ele(a)
2,""Poderia votar, mas dependendo do candidato""
3,Não votaria no candidato apoiado por ele(a)
4,Não levaria isso em conta na hora de escolher o candidato
5,NS/NR",113
T_58_9,"Label: Michel Temer
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Votaria com certeza no candidato apoiado por ele(a)
2,""Poderia votar, mas dependendo do candidato""
3,Não votaria no candidato apoiado por ele(a)
4,Não levaria isso em conta na hora de escolher o candidato
5,NS/NR",114
T_58_10,"Label: Aécio Neves
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Votaria com certeza no candidato apoiado por ele(a)
2,""Poderia votar, mas dependendo do candidato""
3,Não votaria no candidato apoiado por ele(a)
4,Não levaria isso em conta na hora de escolher o candidato
5,NS/NR",115
T_58_11,"Label: Serra
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Votaria com certeza no candidato apoiado por ele(a)
2,""Poderia votar, mas dependendo do candidato""
3,Não votaria no candidato apoiado por ele(a)
4,Não levaria isso em conta na hora de escolher o candidato
5,NS/NR",116
T_58_12,"Label: Fernando Henrique Cardoso
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Votaria com certeza no candidato apoiado por ele(a)
2,""Poderia votar, mas dependendo do candidato""
3,Não votaria no candidato apoiado por ele(a)
4,Não levaria isso em conta na hora de escolher o candidato
5,NS/NR",117
T_58_13,"Label: Família Trad
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Votaria com certeza no candidato apoiado por ele(a)
2,""Poderia votar, mas dependendo do candidato""
3,Não votaria no candidato apoiado por ele(a)
4,Não levaria isso em conta na hora de escolher o candidato
5,NS/NR",118
Q_60,"Label: 24. Na hora de escolher um candidato a prefeito, o(a) Sr(a) (LEIA OPÇÕES):
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Votaria em qualquer candidato apoiado pelo Governador Reinal
2,Poderia votar em um candidato apoiado pelo Governador Reinal
3,Não votaria em nenhum candidato apoiado pelo Governado Reina
4,NS/NR",119
Q_61,"Label: 25. Na sua opinião, o futuro Prefeito de Campo Grande ser do mesmo partido, grupo ou aliado do Governador do Estado, Reinaldo Azambuja, seria ótimo, bom, regular, ruim ou péssimo? Se regular, positiva ou negativa?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Ótimo
2,Bom
3,Regular positivo
4,Regular negativo
5,Ruim
6,Péssimo
99,NS/NR",120
T_62_1,"Label: Partido político que mais gosta?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,PMDB
2,PTB
3,PDT
4,PT
5,DEM
6,PC DO B
7,PSB
8,PSDB
9,PTC
10,PSC
11,PMN
12,PRP
13,PPS
14,PV
15,PT DO B
16,PP
17,PSTU
18,PCB
19,PRTB
20,PHS
21,PSDC
22,PCO
23,PTN
24,PSL
25,PRB
26,PSOL
27,PR
28,PSD
29,PPL
30,PEN
31,PROS
32,SD - SOLIDARIEDADE
33,NOVO
34,REDE
35,PMB
36,Nenhum
37,Todos
38,NS/NR",121
T_62_2,"Label: Partido político que menos gosta
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,PMDB
2,PTB
3,PDT
4,PT
5,DEM
6,PC DO B
7,PSB
8,PSDB
9,PTC
10,PSC
11,PMN
12,PRP
13,PPS
14,PV
15,PT DO B
16,PP
17,PSTU
18,PCB
19,PRTB
20,PHS
21,PSDC
22,PCO
23,PTN
24,PSL
25,PRB
26,PSOL
27,PR
28,PSD
29,PPL
30,PEN
31,PROS
32,SD - SOLIDARIEDADE
33,NOVO
34,REDE
35,PMB
36,Nenhum
37,Todos
38,NS/NR",122
Q_63,"Label: 28. Até este momento, o(a) Sr(a) diria que aprova ou desaprova a maneira como o Governador Reinaldo Azambuja está governando o Estado do Mato Grosso do Sul?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Aprova
2,Nem aprova e nem desaprova
4,NS/NR
99,Desaprova",123
Q_64,"Label: 29. De maneira geral, como o(a) Sr(a) avalia o desempenho do Governador Reinaldo Azambuja à frente do Governo do MS: ótimo, bom, regular, ruim ou péssimo? Se regular, positiva ou negativa?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Ótimo
2,Bom
3,Regular positivo
4,Regular negativo
5,Ruim
6,Péssimo
99,NS/NR",124
Q_65,"Label: 29.1. Por que avalia dessa forma ÓTIMO?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Está tentando melhorar a saúde (Caravana da Saúde)
2,Está fazendo algumas coisas
3,Boa administração
4,Cumpre com as promessas
5,Tem boas propostas
6,Está colocando a casa em ordem
7,Está dando continuidade nas obras paradas (Programa Obras Pa
8,Investe na educação estadual (Kits escolares)
9,Construção e/ou reforma de escolas
10,Negociação da dívida do Estado
11,Aumento do efeitovo policial (polícia militar e bombeiros)
12,Concurso público
13,Aumento de salário dos funcionários públicos
14,Reduziu o salário de Governador
15,Geração de empregos
16,OUTROS (DESCREVA):
17,NS/NR",125
Q_65_S,"Label: 29.1. Por que avalia dessa forma ÓTIMO? [Other (specify)]
Format: A50
Measure: Nominal
Display Width: 50",126
Q_66,"Label: 29.2. Por que avalia dessa forma BOM?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Está tentando melhorar a saúde (Caravana da Saúde)
2,Está fazendo algumas coisas
3,Boa administração
4,Cumpre com as promessas
5,Tem boas propostas
6,Está colocando a casa em ordem
7,Está dando continuidade nas obras paradas (Programa Obras Pa
8,Investe na educação estadual (Kits escolares)
9,Construção e/ou reforma de escolas
10,Negociação da dívida do Estado
11,Aumento do efeitovo policial (polícia militar e bombeiros)
12,Concurso público
13,Aumento de salário dos funcionários públicos
14,Reduziu o salário de Governador
15,Geração de empregos
16,OUTROS (DESCREVA):
17,NS/NR",127
Q_66_S,"Label: 29.2. Por que avalia dessa forma BOM? [Other (specify)]
Format: A50
Measure: Nominal
Display Width: 50",128
Q_67,"Label: 29.3. Por que avalia dessa forma REGULAR POSITIVO?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Está comprometido com a saúde (Caravana da Saúde)
2,Está tentando melhorar o Estado
3,Está investindo na Educação (Kit Escolar)
4,Bom administrador
5,Não ouvi falar mal / sem envolvimento com corrupção
6,Ainda não fez nada
7,Não sei nada que ele fez até agora
8,OUTROS (DESCREVA):
9,NS/NR",129
Q_67_S,"Label: 29.3. Por que avalia dessa forma REGULAR POSITIVO? [Other (specify)]
Format: A50
Measure: Nominal
Display Width: 50",130
Q_68,"Label: 29.4. Por que avalia dessa forma REGULAR NEGATIVO?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Está comprometido com a saúde (Caravana da Saúde)
2,Está tentando melhorar o Estado
3,Está investindo na Educação (Kit Escolar)
4,Bom administrador
5,Não ouvi falar mal / sem envolvimento com corrupção
6,Ainda não fez nada
7,Não sei nada que ele fez até agora
8,OUTROS (DESCREVA):
9,NS/NR",131
Q_68_S,"Label: 29.4. Por que avalia dessa forma REGULAR NEGATIVO? [Other (specify)]
Format: A50
Measure: Nominal
Display Width: 50",132
Q_69,"Label: 29.5. Por que avalia dessa forma RUIM?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Não fez nada até agora
2,Nâo cumpre as promessas
3,Corrupto/desonesto
4,Mau administrador
5,Não está investindo na saúde
6,Aumento do preço da energia elétrica
7,Incompetente
8,Não investe na educação
9,Continua com a cobrança da vistoria veicular
10,OUTROS (DESCREVA):
11,NS/NR",133
Q_69_S,"Label: 29.5. Por que avalia dessa forma RUIM? [Other (specify)]
Format: A50
Measure: Nominal
Display Width: 50",134
Q_70,"Label: 29.6. Por que avalia dessa forma PÉSSIMO?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Não fez nada até agora
2,Nâo cumpre as promessas
3,Corrupto/desonesto
4,Mau administrador
5,Não está investindo na saúde
6,Aumento do preço da energia elétrica
7,Incompetente
8,Não investe na educação
9,Continua com a cobrança da vistoria veicular
10,OUTROS (DESCREVA):
11,NS/NR",135
Q_70_S,"Label: 29.6. Por que avalia dessa forma PÉSSIMO? [Other (specify)]
Format: A50
Measure: Nominal
Display Width: 50",136
Q_71_O1,"Label: 30. O(a) Sr(a) se lembra de algum programa, ação, obra, realização do Governo do Estado do MS, na administração de Reinaldo Azambuja? 
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Caravana da Saúde (carretas)
2,Entrega de Kits Escolares para os alunos
3,Compra de mais viaturas e munições para policiamento
4,Aumento de salário dos funcionários públicos
5,Programa Vale UNI
6,Entrega de casas / programa de habitação
7,Reforma/privatização de estradas
8,Continuidade da obra do aquário
9,Programa Obras inacabadas zero
10,Redução do salário do Governador
11,Concursos públicos
12,Renegociação da dívida do Estado
13,OUTRO (DESCREVA):
14,Não se lembra
15,NS/NR",137
Q_71_O2,"Label: 30. O(a) Sr(a) se lembra de algum programa, ação, obra, realização do Governo do Estado do MS, na administração de Reinaldo Azambuja? 
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Caravana da Saúde (carretas)
2,Entrega de Kits Escolares para os alunos
3,Compra de mais viaturas e munições para policiamento
4,Aumento de salário dos funcionários públicos
5,Programa Vale UNI
6,Entrega de casas / programa de habitação
7,Reforma/privatização de estradas
8,Continuidade da obra do aquário
9,Programa Obras inacabadas zero
10,Redução do salário do Governador
11,Concursos públicos
12,Renegociação da dívida do Estado
13,OUTRO (DESCREVA):
14,Não se lembra
15,NS/NR",138
Q_71_O3,"Label: 30. O(a) Sr(a) se lembra de algum programa, ação, obra, realização do Governo do Estado do MS, na administração de Reinaldo Azambuja? 
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Caravana da Saúde (carretas)
2,Entrega de Kits Escolares para os alunos
3,Compra de mais viaturas e munições para policiamento
4,Aumento de salário dos funcionários públicos
5,Programa Vale UNI
6,Entrega de casas / programa de habitação
7,Reforma/privatização de estradas
8,Continuidade da obra do aquário
9,Programa Obras inacabadas zero
10,Redução do salário do Governador
11,Concursos públicos
12,Renegociação da dívida do Estado
13,OUTRO (DESCREVA):
14,Não se lembra
15,NS/NR",139
Q_71_O4,"Label: 30. O(a) Sr(a) se lembra de algum programa, ação, obra, realização do Governo do Estado do MS, na administração de Reinaldo Azambuja? 
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Caravana da Saúde (carretas)
2,Entrega de Kits Escolares para os alunos
3,Compra de mais viaturas e munições para policiamento
4,Aumento de salário dos funcionários públicos
5,Programa Vale UNI
6,Entrega de casas / programa de habitação
7,Reforma/privatização de estradas
8,Continuidade da obra do aquário
9,Programa Obras inacabadas zero
10,Redução do salário do Governador
11,Concursos públicos
12,Renegociação da dívida do Estado
13,OUTRO (DESCREVA):
14,Não se lembra
15,NS/NR",140
Q_71_O5,"Label: 30. O(a) Sr(a) se lembra de algum programa, ação, obra, realização do Governo do Estado do MS, na administração de Reinaldo Azambuja? 
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Caravana da Saúde (carretas)
2,Entrega de Kits Escolares para os alunos
3,Compra de mais viaturas e munições para policiamento
4,Aumento de salário dos funcionários públicos
5,Programa Vale UNI
6,Entrega de casas / programa de habitação
7,Reforma/privatização de estradas
8,Continuidade da obra do aquário
9,Programa Obras inacabadas zero
10,Redução do salário do Governador
11,Concursos públicos
12,Renegociação da dívida do Estado
13,OUTRO (DESCREVA):
14,Não se lembra
15,NS/NR",141
Q_71_O6,"Label: 30. O(a) Sr(a) se lembra de algum programa, ação, obra, realização do Governo do Estado do MS, na administração de Reinaldo Azambuja? 
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Caravana da Saúde (carretas)
2,Entrega de Kits Escolares para os alunos
3,Compra de mais viaturas e munições para policiamento
4,Aumento de salário dos funcionários públicos
5,Programa Vale UNI
6,Entrega de casas / programa de habitação
7,Reforma/privatização de estradas
8,Continuidade da obra do aquário
9,Programa Obras inacabadas zero
10,Redução do salário do Governador
11,Concursos públicos
12,Renegociação da dívida do Estado
13,OUTRO (DESCREVA):
14,Não se lembra
15,NS/NR",142
Q_71_O7,"Label: 30. O(a) Sr(a) se lembra de algum programa, ação, obra, realização do Governo do Estado do MS, na administração de Reinaldo Azambuja? 
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Caravana da Saúde (carretas)
2,Entrega de Kits Escolares para os alunos
3,Compra de mais viaturas e munições para policiamento
4,Aumento de salário dos funcionários públicos
5,Programa Vale UNI
6,Entrega de casas / programa de habitação
7,Reforma/privatização de estradas
8,Continuidade da obra do aquário
9,Programa Obras inacabadas zero
10,Redução do salário do Governador
11,Concursos públicos
12,Renegociação da dívida do Estado
13,OUTRO (DESCREVA):
14,Não se lembra
15,NS/NR",143
Q_71_O8,"Label: 30. O(a) Sr(a) se lembra de algum programa, ação, obra, realização do Governo do Estado do MS, na administração de Reinaldo Azambuja? 
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Caravana da Saúde (carretas)
2,Entrega de Kits Escolares para os alunos
3,Compra de mais viaturas e munições para policiamento
4,Aumento de salário dos funcionários públicos
5,Programa Vale UNI
6,Entrega de casas / programa de habitação
7,Reforma/privatização de estradas
8,Continuidade da obra do aquário
9,Programa Obras inacabadas zero
10,Redução do salário do Governador
11,Concursos públicos
12,Renegociação da dívida do Estado
13,OUTRO (DESCREVA):
14,Não se lembra
15,NS/NR",144
Q_71_O9,"Label: 30. O(a) Sr(a) se lembra de algum programa, ação, obra, realização do Governo do Estado do MS, na administração de Reinaldo Azambuja? 
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Caravana da Saúde (carretas)
2,Entrega de Kits Escolares para os alunos
3,Compra de mais viaturas e munições para policiamento
4,Aumento de salário dos funcionários públicos
5,Programa Vale UNI
6,Entrega de casas / programa de habitação
7,Reforma/privatização de estradas
8,Continuidade da obra do aquário
9,Programa Obras inacabadas zero
10,Redução do salário do Governador
11,Concursos públicos
12,Renegociação da dívida do Estado
13,OUTRO (DESCREVA):
14,Não se lembra
15,NS/NR",145
Q_71_O10,"Label: 30. O(a) Sr(a) se lembra de algum programa, ação, obra, realização do Governo do Estado do MS, na administração de Reinaldo Azambuja? 
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Caravana da Saúde (carretas)
2,Entrega de Kits Escolares para os alunos
3,Compra de mais viaturas e munições para policiamento
4,Aumento de salário dos funcionários públicos
5,Programa Vale UNI
6,Entrega de casas / programa de habitação
7,Reforma/privatização de estradas
8,Continuidade da obra do aquário
9,Programa Obras inacabadas zero
10,Redução do salário do Governador
11,Concursos públicos
12,Renegociação da dívida do Estado
13,OUTRO (DESCREVA):
14,Não se lembra
15,NS/NR",146
Q_71_O11,"Label: 30. O(a) Sr(a) se lembra de algum programa, ação, obra, realização do Governo do Estado do MS, na administração de Reinaldo Azambuja? 
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Caravana da Saúde (carretas)
2,Entrega de Kits Escolares para os alunos
3,Compra de mais viaturas e munições para policiamento
4,Aumento de salário dos funcionários públicos
5,Programa Vale UNI
6,Entrega de casas / programa de habitação
7,Reforma/privatização de estradas
8,Continuidade da obra do aquário
9,Programa Obras inacabadas zero
10,Redução do salário do Governador
11,Concursos públicos
12,Renegociação da dívida do Estado
13,OUTRO (DESCREVA):
14,Não se lembra
15,NS/NR",147
